datetime,timestamp_ms,mq9_value,mq135_value
1970-01-01 00:04:34.090,274090,84,22
1970-01-01 00:12:52.278,772278,77,23
1970-01-01 00:04:35.200,275200,83,16
1970-01-01 00:12:53.388,773388,77,28
1970-01-01 00:04:36.310,276310,81,38
1970-01-01 00:12:55.384,775384,90,27
1970-01-01 00:04:38.310,278310,86,27
1970-01-01 00:12:56.473,776473,80,17
1970-01-01 00:04:39.385,279385,81,29
1970-01-01 00:12:57.552,777552,74,25
1970-01-01 00:04:40.460,280460,80,25
1970-01-01 00:12:58.630,778630,91,32
1970-01-01 00:04:41.550,281550,82,31
1970-01-01 00:12:59.719,779719,80,30
1970-01-01 00:04:42.640,282640,85,30
1970-01-01 00:13:00.810,780810,80,18
1970-01-01 00:04:43.730,283730,87,25
1970-01-01 00:13:01.900,781900,80,25
1970-01-01 00:04:44.820,284820,90,27
1970-01-01 00:13:02.991,782991,83,29
1970-01-01 00:04:45.910,285910,77,16
1970-01-01 00:13:04.080,784080,83,27
1970-01-01 00:04:47.000,287000,87,27
1970-01-01 00:13:05.160,785160,80,16
1970-01-01 00:04:49.708,289708,80,28
1970-01-01 00:13:07.881,787881,78,18
1970-01-01 00:04:50.800,290800,85,28
1970-01-01 00:13:08.971,788971,79,16
1970-01-01 00:04:51.890,291890,86,22
1970-01-01 00:13:10.071,790071,80,23
1970-01-01 00:04:52.990,292990,83,31
1970-01-01 00:13:11.172,791172,74,18
1970-01-01 00:04:54.090,294090,86,25
1970-01-01 00:13:12.271,792271,86,27
1970-01-01 00:04:55.190,295190,82,21
1970-01-01 00:13:13.372,793372,80,16
1970-01-01 00:04:56.290,296290,80,21
1970-01-01 00:13:14.472,794472,83,26
1970-01-01 00:04:57.390,297390,82,27
1970-01-01 00:13:15.572,795572,80,24
1970-01-01 00:04:58.490,298490,81,25
1970-01-01 00:13:16.673,796673,80,16
1970-01-01 00:04:59.600,299600,87,29
1970-01-01 00:13:17.772,797772,81,19
1970-01-01 00:05:00.700,300700,86,33
1970-01-01 00:13:18.883,798883,80,16
1970-01-01 00:05:01.810,301810,83,25
1970-01-01 00:13:20.018,800018,83,29
1970-01-01 00:05:02.934,302934,83,25
1970-01-01 00:13:21.133,801133,82,22
1970-01-01 00:05:04.060,304060,86,30
1970-01-01 00:13:22.263,802263,80,23
1970-01-01 00:05:05.190,305190,86,25
1970-01-01 00:13:23.393,803393,86,34
1970-01-01 00:05:06.320,306320,82,26
1970-01-01 00:13:24.523,804523,81,20
1970-01-01 00:05:07.450,307450,83,27
1970-01-01 00:13:25.643,805643,73,29
1970-01-01 00:05:08.570,308570,83,32
1970-01-01 00:13:26.764,806764,80,29
1970-01-01 00:05:09.690,309690,81,22
1970-01-01 00:13:27.895,807895,82,32
1970-01-01 00:05:10.820,310820,82,27
1970-01-01 00:13:29.034,809034,75,23
1970-01-01 00:05:11.960,311960,81,33
1970-01-01 00:13:31.048,811048,87,31
1970-01-01 00:05:13.964,313964,86,19
1970-01-01 00:13:32.144,812144,80,29
1970-01-01 00:05:15.070,315070,80,30
